name,Hex,red,green,blue
Vegas Gold,#C5B358,197,179,88
Venetian Red,#C80815,200,8,21
Verdigris,#43B3AE,67,179,174
Vermilion,#E34234,227,66,52
Vermilion,#D9381E,217,56,30
Veronica,#A020F0,160,32,240
Verse Green,#18880d,24,136,13
Very Light Azure,#74BBFB,116,187,251
Very Light Blue,#6666FF,102,102,255
Very Light Malachite Green,#64E986,100,233,134
Very Light Tangelo,#FFB077,255,176,119
Very Pale Orange,#FFDFBF,255,223,191
Very Pale Yellow,#FFFFBF,255,255,191
Violet,#8F00FF,143,0,255
Violet (Color Wheel),#7F00FF,127,0,255
Violet (Crayola),#963D7F,150,61,127
Violet (RYB),#8601AF,134,1,175
Violet (Web),#EE82EE,238,130,238
Violet-Blue,#324AB2,50,74,178
Violet-Blue (Crayola),#766EC8,118,110,200
Violet-Red,#F75394,247,83,148
Violet-Red,#891446,137,20,70
Violin Brown,#674403,103,68,3
Viridian,#40826D,64,130,109
Viridian Green,#009698,0,150,152
Vista Blue,#7C9ED9,124,158,217
Vivid Amber,#CC9900,204,153,0
Vivid Auburn,#922724,146,39,36
Vivid Burgundy,#9F1D35,159,29,53
Vivid Cerise,#DA1D81,218,29,129
Vivid Cerulean,#00AAEE,0,170,238
Vivid Crimson,#CC0033,204,0,51
Vivid Gamboge,#FF9900,255,153,0
Vivid Lime Green,#A6D608,166,214,8
Vivid Malachite,#00CC33,0,204,51
Vivid Mulberry,#B80CE3,184,12,227
Vivid Orange,#FF5F00,255,95,0
Vivid Orange Peel,#FFA000,255,160,0
Vivid Orchid,#CC00FF,204,0,255
Vivid Raspberry,#FF006C,255,0,108
Vivid Red,#F70D1A,247,13,26
Vivid Red-Tangelo,#DF6124,223,97,36
Vivid Sky Blue,#00CCFF,0,204,255
Vivid Tangelo,#F07427,240,116,39
Vivid Tangerine,#FFA089,255,160,137
Vivid Vermilion,#E56024,229,96,36
Vivid Violet,#9F00FF,159,0,255
Vivid Yellow,#FFE302,255,227,2
Vodka,#BFC0EE,191,192,238
Volt,#CEFF00,206,255,0
Wageningen Green,#34B233,52,178,51
Warm Black,#004242,0,66,66
Water,#D4F1F9,212,241,249
Watermelon,#F05C85,240,92,133
Watermelon Red,#BF4147,191,65,71
Waterspout,#A4F4F9,164,244,249
Weldon Blue,#7C98AB,124,152,171
Wenge,#645452,100,84,82
Wheat,#F5DEB3,245,222,179
White,#FFFFFF,255,255,255
White Chocolate,#EDE6D6,237,230,214
White Coffee,#E6E0D4,230,224,212
White Smoke,#F5F5F5,245,245,245
Wild Blue Yonder,#A2ADD0,162,173,208
Wild Orchid,#D470A2,212,112,162
Wild Strawberry,#FF43A4,255,67,164
Wild Watermelon,#FC6C85,252,108,133
Willpower Orange,#FD5800,253,88,0
Windsor Tan,#A75502,167,85,2
Wine,#722F37,114,47,55
Wine Red,#B11226,177,18,38
Wine Dregs,#673147,103,49,71
Winter Sky,#FF007C,255,0,124
Winter Wizard,#A0E6FF,160,230,255
Wintergreen Dream,#56887D,86,136,125
Wisteria,#C9A0DC,201,160,220
Wood Brown,#C19A6B,193,154,107
Xanadu,#738678,115,134,120
Yale Blue,#0F4D92,15,77,146
Yankees Blue,#1C2841,28,40,65
Yellow,#FFFF00,255,255,0
Yellow (Crayola),#FCE883,252,232,131
Yellow (Munsell),#EFCC00,239,204,0
Yellow (NCS),#FFD300,255,211,0
Yellow (Pantone),#FEDF00,254,223,0
Yellow (Process),#FFEF00,255,239,0
Yellow (RYB),#FEFE33,254,254,51
Yellow-Green,#9ACD32,154,205,50
Yellow-Green (Crayola),#C5E384,197,227,132
Yellow-Green (Color Wheel),#30B21A,48,178,26
Yellow Orange,#FFAE42,255,174,66
Yellow Orange (Color Wheel),#FF9505,255,149,5
Yellow Rose,#FFF000,255,240,0
Yellow Sunshine,#FFF700,255,247,0
YInMn Blue,#2E5090,46,80,144
Zaffre,#0014A8,0,20,168
Zinnwaldite Brown,#2C1608,44,22,8
Zomp,#39A78E,57,167,142
